Name,Title,Year,Biopic_Actor,SAGNom_Actor,SAG_Actor,NBR_Actor,CCNom_Actor,CC_Actor,GGNom_Actor,GG_Actor,OscarNom_Actor,BAFTANom_Actor,BAFTA_Actor,LAFCC_Actor,NYFCC_Actor,NSFC_Actor,Nom_Category,Win_Category
Ralph Fiennes,Conclave,2024,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Adrien Brody,The Brutalist,2024,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0
Colman Domingo,Sing Sing,2024,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0
Timothee Chalamet,A Complete Unknown,2024,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
John David Washington,The Piano Lesson,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Craig,Queer,2024,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Sebastian Stan (Trump),The Apprentice,2024,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Joaquin Phoenix,Joker: Folie a Deux,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastian Stan (Different Man),A Different Man,2024,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Jesse Eisenberg,A Real Pain,2024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ethan Herisse,Nickel Boys,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Mescal,Gladiator II,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glen Powell,Hit Man,2024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hugh Grant,Heretic,2024,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Gabriel LaBelle,Saturday Night,2024,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jesse Plemons,Kinds of Kindness,2024,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cillian Murphy,Oppenheimer,2023,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1
Paul Giamatti,The Holdovers,2023,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0
Bradley Cooper,Maestro,2023,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0
Colman Domingo,Rustin,2023,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
Jeffrey Wright,American Fiction,2023,0,1,0,0,1,0,1,0,1,0,0,0.5,0,0,1,0
Leonardo DiCaprio,Killers of the Flower Moon,2023,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Barry Keoghan,Saltburn,2023,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Andrew Scott,All of Us Strangers,2023,0,0,0,0,0,0,1,0,0,0,0,0.5,0,1,0,0
Nicholas Cage,Dream Scenario,2023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Timothee Chalamet,Wonka,2023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Matt Damon,Air,2023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Joaquin Phoenix,Beau is Afraid,2023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Franz Rogowski,Passages,2023,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Brendan Fraser,The Whale,2022,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1
Austin Butler,Elvis,2022,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0
Colin Farrell,The Banshees of Inisherin,2022,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0
Bill Nighy,Living,2022,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
Paul Mescal,Aftersun,2022,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Adam Sandler,Hustle,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Cruise,Top Gun: Maverick,2022,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Daryl McCormack,"Good Luck to You, Leo Grande",2022,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hugh Jackman,The Son,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jeremy Pope,The Inspection,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Diego Calva,Babylon,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Daniel Craig,Glass Onion,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Adam Driver,White Noise,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ralph Fiennes,The Menu,2022,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Will Smith,King Richard,2021,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
Andrew Garfield,"tick, tick… BOOM!",2021,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0
Benedict Cumberbatch,The Power of the Dog,2021,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0
Denzel Washington,The Tragedy of Macbeth,2021,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Javier Bardem,Being the Ricardos,2021,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Peter Dinklage,Cyrano,2021,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Mahershala Ali,Swan Song,2021,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Cooper Hoffman,Licorice Pizza,2021,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Leonardo DiCaprio,Don't Look Up,2021,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Abdeel Akhtar,Ali and Ava,2021,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Stephen Graham,Boiling Point,2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hidetoshi Nishijima,Drive My Car,2021,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Simon Rex,Red Rocket,2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Anthony Hopkins,The Father,2020,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1
Gary Oldman,Mank,2020,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0
Steven Yeun,Minari,2020,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Chadwick Boseman,Ma Rainey's Black Bottom,2020,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0
Riz Ahmed,Sound of Metal,2020,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0
Ben Affleck,The Way Back,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tom Hanks,News of the World,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Delroy Lindo,Da 5 Bloods,2020,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Tahar Rahim,The Mauritanian,2020,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Sacha Baron Cohen,Borat Subsequent Moviefilm,2020,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Andy Samberg,Palm Springs,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mads Mikkelsen,Another Round,2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Joaquin Phoenix,Joker,2019,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1
Adam Driver,Marriage Story,2019,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0
Leonardo DiCaprio,Once Upon a Time in Hollywood,2019,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0
Jonathan Pryce,The Two Popes,2019,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
Antonio Banderas,Pain and Glory,2019,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0
Christian Bale,Ford v Ferrari,2019,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Taron Egerton ,Rocketman,2019,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Adam Sandler,Uncut Gems,2019,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Eddie Murphy,Dolemite is my Name,2019,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Daniel Craig,Knives Out,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rami Malek,Bohemian Rhapsody,2018,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1
Christian Bale,Vice,2018,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0
Willem Dafoe,At Eternity's Gate,2018,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Bradley Cooper,A Star is Born,2018,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0
Viggo Mortensen,Green Book,2018,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0
John David Washington,BlackkKlansman,2018,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Ethan Hawke,First Reformed,2018,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
Ryan Gosling,First Man,2018,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lucas Hedges,Boy Erased,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Robert Redford,The Old Man and the Gun,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Steve Coogan,Stan and Ollie,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gary Oldman,Darkest Hour,2017,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1
Timothee Chalamet,Call Me By Your Name,2017,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0
Daniel Kaluuya,Get Out,2017,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0
Denzel Washington,"Roman J. Israel, Esq.",2017,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Daniel Day-Lewis,Phantom Thread,2017,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0
James Franco,The Disaster Artist,2017,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Tom Hanks,The Post,2017,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
Jake Gyllenhaal,Stronger,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Steve Carrell,Battle of the Sexes,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hugh Jackman,The Greatest Showman,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jamie Bell,Film Stars Don't Die in Liverpool,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
