Name,Title,Year,DGANom_Dir,DGA_Dir,CCNom_Dir,CC_Dir,GGNom_Dir,GG_Dir,BAFTANom_dir,BAFTA_Dir,Nom_Category,Win_Category
Sean Baker,Anora,2024,0,0,0,0,0,0,0,0,0,0
Brady Corbet,The Brutalist,2024,0,0,0,0,0,0,0,0,0,0
Jacques Audiard,Emilia Perez,2024,0,0,0,0,0,0,0,0,0,0
Denis Villenueve,Dune: Part Two,2024,0,0,0,0,0,0,0,0,0,0
Edward Berger,Conclave,2024,0,0,0,0,0,0,0,0,0,0
Steve McQueen,Blitz,2024,0,0,0,0,0,0,0,0,0,0
Ridley Scott,Gladiator II,2024,0,0,0,0,0,0,0,0,0,0
RaMell Ross,Nickel Boys,2024,0,0,0,0,0,0,0,0,0,0
Pedro Almodovar,The Room Next Door,2024,0,0,0,0,0,0,0,0,0,0
Greg Kwedar,Sing Sing,2024,0,0,0,0,0,0,0,0,0,0
Coralie Fargeat,The Substance,2024,0,0,0,0,0,0,0,0,0,0
Justine Triet,Anatomy of a Fall,2023,0,0,0,0,0,0,1,0,1,0
Martin Scorsese,Killers of the Flower Moon,2023,1,0,1,0,1,1,0,0,1,0
Christopher Nolan,Oppenheimer,2023,1,1,1,1,1,0,1,1,1,1
Jonathan Glazer,The Zone of Interest,2023,0,0,0,0,0,0,1,0,1,0
Greta Gerwig,Barbie,2023,1,0,1,0,1,0,0,0,0,0
Alexander Payne,The Holdovers,2023,1,0,1,0,0,0,1,0,0,0
Yorgos Lanthimos,Poor Things,2023,1,0,1,0,1,0,0,0,1,0
Bradley Cooper,Maestro,2023,0,0,1,0,1,0,1,0,0,0
Celine Song,Past Lives,2023,0,0,0,0,1,0,0,0,0,0
Andrew Haigh,All of Us Strangers,2023,0,0,0,0,0,0,1,0,0,0
Daniels,Everything Everywhere All at Once,2022,1,1,1,1,1,0,1,0,1,1
Todd Field,Tar,2022,1,0,1,0,0,0,1,0,1,0
Steven Spielberg,The Fabelmans,2022,1,0,1,0,1,1,0,0,1,0
Martin McDonagh,The Banshees of Inisherin,2022,1,0,1,0,1,0,1,0,1,0
Ruben Ostlund,Triangle of Sadness,2022,0,0,0,0,0,0,0,0,1,0
Joseph Kosinski,Top Gun: Maverick,2022,1,0,0,0,0,0,0,0,0,0
James Cameron,Avatar: The Way of Water,2022,0,0,1,0,1,0,0,0,0,0
Damien Chazelle,Babylon,2022,0,0,1,0,0,0,0,0,0,0
Baz Luhrmann,Elvis,2022,0,0,1,0,1,0,0,0,0,0
Park Chan Wook,Decision to Leave,2022,0,0,0,0,0,0,1,0,0,0
Edward Berger,All Quiet On The Western Front,2022,0,0,0,0,0,0,1,1,0,0
S. S. Rajamouli,RRR,2022,0,0,1,0,0,0,0,0,0,0
Gine Prince-Bythwood,The Woman King,2022,0,0,1,0,0,0,1,0,0,0
Sarah Polley,Women Talking,2022,0,0,1,0,0,0,0,0,0,0
Jane Campion,The Power of the Dog,2021,1,1,1,1,1,1,1,1,1,1
Ryusuke Hamaguchi,Drive My Car,2021,0,0,0,0,0,0,1,0,1,0
Paul Thomas Anderson,Licorice Pizza,2021,1,0,1,0,0,0,1,0,1,0
Kenneth Branagh,Belfast,2021,1,0,1,0,1,0,0,0,1,0
Steven Spielberg,West Side Story,2021,1,0,1,0,1,0,0,0,1,0
Denis Villenueve,Dune,2021,1,0,1,0,1,0,0,0,0,0
Guillermo del Toro,Nightmare Alley,2021,0,0,1,0,0,0,0,0,0,0
Maggie Gyllenhaal,The Lost Daughter,2021,0,0,0,0,1,0,0,0,0,0
Audrey Diwan,Happening,2021,0,0,0,0,0,0,1,0,0,0
Julia Ducournau,Titane,2021,0,0,0,0,0,0,1,0,0,0
Aleem Khan,After Love,2021,0,0,0,0,0,0,1,0,0,0
Chloe Zhao,Nomadland,2020,1,1,1,1,1,1,1,1,1,1
Emerald Fennell,Promising Young Woman,2020,1,0,1,0,1,0,0,0,1,0
Lee Isaac Chung,Minari,2020,1,0,1,0,0,0,1,0,1,0
David Fincher,Mank,2020,1,0,1,0,1,0,0,0,1,0
Thomas Vinterberg,Another Round,2020,0,0,0,0,0,0,1,0,1,0
Aaron Sorkin,The Trial of the Chicago Seven,2020,1,0,1,0,1,0,0,0,0,0
Regina King,One Night in Miami…,2020,0,0,1,0,1,0,0,0,0,0
Spike Lee,Da 5 Bloods,2020,0,0,1,0,0,0,0,0,0,0
Jasmila Zbanic,"Quo Vadis, Aida?",2020,0,0,0,0,0,0,1,0,0,0
Sarah Gavron,Rocks,2020,0,0,0,0,0,0,1,0,0,0
Shannon Murphy,Babyteeth,2020,0,0,0,0,0,0,1,0,0,0
Bong Joon Ho,Parasite,2019,1,0,1,1,1,0,1,1,1,1
Sam Mendes,1917,2019,1,1,1,1,1,1,1,0,1,0
Quentin Tarantino,Once Upon a Time in Hollywood,2019,1,0,1,0,1,0,1,0,1,0
Martin Scorsese,The Irishman,2019,1,0,1,0,1,0,1,0,1,0
Todd Philipps,Joker,2019,0,0,0,0,1,0,1,0,1,0
Taika Waititi,Jojo Rabbit,2019,1,0,0,0,0,0,0,0,0,0
Noah Baumbach,Marriage Story,2019,0,0,1,0,0,0,0,0,0,0
Greta Gerwig,Little Women,2019,0,0,1,0,0,0,0,0,0,0
Safdie Brothers,Uncut Gems,2019,0,0,1,0,0,0,0,0,0,0
Alfonso Cuaron,Roma,2018,1,1,1,1,1,1,1,1,1,1
Spike Lee,BlackkKlansman,2018,1,0,1,0,1,0,1,0,1,0
Pawel Pawlikowski,Cold War,2018,0,0,0,0,0,0,1,0,1,0
Yorgos Lanthimos,The Favourite,2018,0,0,1,0,0,0,1,0,1,0
Adam McKay,Vice,2018,1,0,1,0,1,0,0,0,1,0
Bradley Cooper,A Star is Born,2018,1,0,1,0,1,0,1,0,0,0
Peter Farrelly,Green Book,2018,1,0,1,0,1,0,0,0,0,0
Damien Chazelle,First Man,2018,0,0,1,0,0,0,0,0,0,0
Guillermo del Toro,The Shape of Water,2017,1,1,1,1,1,1,1,1,1,1
Christopher Nolan,Dunkirk,2017,1,0,1,0,1,0,1,0,1,0
Jordan Peele,Get Out,2017,1,0,1,0,0,0,0,0,1,0
Greta Gerwig,Lady Bird,2017,1,0,1,0,0,0,0,0,1,0
Paul Thomas Anderson,Phantom Thread,2017,0,0,0,0,0,0,0,0,1,0
Martin McDonagh,"Three Billboards Outside Ebbing, Missouri",2017,1,0,1,0,1,0,1,0,0,0
Luca Guadagnino,Call Me By Your Name,2017,0,0,1,0,0,0,1,0,0,0
Steven Spielberg,The Post,2017,0,0,1,0,1,0,0,0,0,0
Ridley Scott,All the Money in the World,2017,0,0,0,0,1,0,0,0,0,0
Denis Villenueve,Blade Runner 2049,2017,0,0,0,0,0,0,1,0,0,0
